Company_name,CEO_name
JPMorgan Chase,Jamie Dimon
Berkshire Hathaway,Warren Edward Buffett
Saudi Arabian Oil Company (Saudi Aramco),Amin bin Hasan Al-Nasser
ICBC,Wang Jingwu
Bank of America,Brian T. Moynihan
Amazon,Andrew R. Jassy
China Construction Bank,Zhang Jianguo
Microsoft,Satya Nadella
Agricultural Bank of China,Shu Gu
Alphabet,Sundar Pichai
Toyota Motor,Koji Sato
Apple,Tim Cook
Bank of China,Liange LIU
ExxonMobil,Darren W. Woods
HSBC Holdings,Noel Paul Quinn
Wells Fargo,Charlie Scharf
Shell,Wael Sawan
PetroChina,Yi Lin Wang
UnitedHealth Group,Andrew Philip Witty
Walmart,C. Douglas McMillon
Samsung Electronics,Jong-Hee Han
Chevron,Michael K. Wirth
Goldman Sachs Group,David Michael Solomon
Meta Platforms,Mark Elliot Zuckerberg
TotalEnergies,Patrick Pouyanné
Morgan Stanley,Edward N. Pick
RBC,David Ian McKay
Citigroup,Jane Nind Fraser
Ping An Insurance Group,
China Mobile,Biao He
Allianz,Oliver Bäte
BNP Paribas,Jean-Laurent Bonnafé
Verizon Communications,Hans Erik Vestberg
China Merchants Bank,Liang Wang
UBS,Sergio P. Ermotti
Santander,Héctor Grisi Checa
AT&T,John T. Stankey
Tencent Holdings,Hua Teng Ma
Mitsubishi UFJ Financial,Hironori Kamezawa
Comcast,Brian L. Roberts
Alibaba Group,Yong Ming Eddie
Sinopec,
Volkswagen Group,Oliver Ingo Blume
TD Bank Group,Bharat B. Masrani
Johnson & Johnson,Joaquin Duato
Taiwan Semiconductor,Che Chia Wei
BP,Murray Auchincloss
LVMH Moët Hennessy Louis Vuitton,Bernard Arnault
Reliance Industries,Mukesh Dhirubhai Ambani
Nestlé,Ulf Mark Schneider
AXA Group,Thomas Buberl
Mercedes-Benz Group,Ola Källenius
American Express,Stephen J. Squeri
Petrobras,Magda Chambriard
State Bank of India,Dinesh Kumar Khara
Bank of Communications,Ren Deqi
Postal Savings Bank Of China (PSBC),Jianjun Liu
Tesla,Elon Reeve Musk
Procter & Gamble,Jon R. Moeller
Stellantis,Carlos Tavares
BMW Group,Oliver Zipse
Deutsche Telekom,Timotheus Höttges
Sumitomo Mitsui Financial,Akihiro Fukutome
CVS Health,Karen S. Lynch
HDFC Bank,Sashidhar Jagdishan
BBVA-Banco Bilbao Vizcaya,Onur Genç
Sony,Kenichiro Yoshida
Commonwealth Bank,Matthew Comyn
Life Insurance Corp. of India,
General Motors,Mary Teresa Barra
Nippon Telegraph & Tel,Jun Sawada
Credit Agricole,Philippe Brassac
Broadcom,Hock E. Tan
PepsiCo,Ramon Luis Laguarta
The Home Depot,Ted Decker
Oracle,Safra Ada
Mitsubishi,Katsuya Nakanishi
Roche Holding,Thomas Schinecker
Equinor,Anders Opedal
Elevance Health,Gail Koziara Boudreaux
CNOOC,Xin Huai Zhou
Industrial Bank,Xin Jian Chen
Intesa Sanpaolo Assicura,Carlo Messina
IBM,Arvind Krishna
Chubb,Evan G. Greenberg
Itaú Unibanco Holding,Milton Maluhy Filho
Anheuser-Busch InBev,Michel Dimitrios Doukeris
AbbVie,Richard A. Gonzalez
Cisco Systems,Charles H. Robbins
Honda Motor,Toshihiro Mibe
Bank of Nova Scotia,Lawren Scott Thomson
Hyundai Motor,Jae Hoon Chang
Enel,Flavio Cattaneo
Cigna,David Michael Cordani
Costco Wholesale,Roland M. Vachris
Munich Re,Joachim Wenning
Zurich Insurance Group,Mario Greco
Novartis,Vasant Narasimhan
Coca-Cola,James Quincey
GE Aerospace,H. Lawrence Culp
Caterpillar,Donald James Umpleby
John Deere,John C. May
Bank of Montreal,Darryl White
Mizuho Financial,Masahiro Kihara
AIRBUS,Guillaume Faury
Intel,Patrick P. Gelsinger
Mitsui,Kenichi Hori
ConocoPhillips,Ryan M. Lance
China State Construction Engineering,
NVIDIA,Jensen Huang
Rio Tinto,Jakob Stausholm
CITIC,Zhen Ming Chang
RTX,Christopher T. Calio
Glencore International,Gary Nagle
BHP Group,Mike Henry
China Life Insurance,Ming Guang Li
US Bancorp,Andrew J. Cecere
Hon Hai Precision,
Iberdrola,Armando Martínez Martínez
AstraZeneca,Pascal Soriot
Sanofi,Paul Hudson
Unilever,Hein Schumacher
Ford Motor,James Duncan Farley
Capital One,Richard D. Fairbank
NAB - National Australia Bank,Andrew Irvine
Apollo Global Management,Marc Jeffrey Rowan
Visa,Ryan McInerney
UniCredit,Andrea Orcel
Contemporary Amperex Technology,Yu Qun Ceng
American International Group,Peter S. Zaffino
ANZ Group Holdings,Shayne Cary Elliott
VINCI,Xavier Huillard
China Citic Bank,He Ying Fang
Thermo Fisher Scientific,Marc N. Casper
Charles Schwab,Walter William Bettinger
Progressive,Susan Patricia Griffith
DBS,Piyush Gupta
Marathon Petroleum,Michael J. Hennigan
PNC Financial Services,William Stanton Demchak
Generali Group,Philippe Donnet
ICICI Bank,Sandeep Bakhshi
Itochu,Masahiro Okafuji
Westpac Banking Group,Peter Francis King
United Parcel Service,Carol B. Tomé
Deutsche Bank,Christian Sewing
Canadian Imperial Bank,Victor Dodig
China Shenhua Energy,Zhi Ren Lv
Tokio Marine Holdings,Satoru Komiya
NextEra Energy,John W. Ketchum
Eni,Claudio Descalzi
BYD,Chuan Fu Wang
ING Group,Steven van Rijswijk
Lloyds Banking Group,Charles Alan Nunn
Walt Disney,Robert A. Iger
Phillips 66,Mark E. Lashier
MetLife,Michel A. Khalaf
Salesforce,Marc Russell Benioff
Shanghai Pudong Development,Guo Fu Gao
Banco do Brasil,Tarciana Paula Gomes Medeiros
AIA Group,Yuan Xiang Li
Merck & Co.,Robert M. Davis
Abbott Laboratories,Robert B. Ford
China Telecom,Rui Wen Ke
Dell Technologies,
Barclays,CS Venkatakrishnan
Linde,Sanjiv Lamba
FedEx,Rajesh Subramaniam
Hitachi,Keiji Kojima
Accenture,Julie Spellman Sweet
Lockheed Martin,Jim Taiclet
L'Oréal,Nicolas Hieronimus
Nordea Bank,Frank Vang-Jensen
Eli Lilly,David A. Ricks
KKR,
Philip Morris International,Jacek Olczak
NatWest Group,John Paul Thwaite
Valero Energy,R. Lane Riggs
Enbridge,Gregory Lorne Ebel
JD.com,Sandy Xu
Bank of New York Mellon,Robin Antony Vince
