Date,Open,High,Low,Close,Adj,Volume
"Sep 6, 2024","2,985.00","2,994.00","2,923.25","2,929.65","2,929.65","9,697,114"
"Sep 5, 2024","3,038.10","3,051.55","2,974.10","2,985.95","2,985.95","8,132,084"
"Sep 4, 2024","3,001.40","3,035.00","2,999.00","3,029.10","3,029.10","5,991,652"
"Sep 3, 2024","3,042.50","3,046.00","3,015.00","3,018.25","3,018.25","5,461,900"
"Sep 2, 2024","3,021.75","3,053.60","3,013.25","3,032.50","3,032.50","5,620,426"
"Aug 30, 2024","3,068.00","3,079.45","3,006.65","3,019.25","3,019.25","20,810,365"
"Aug 29, 2024","3,006.20","3,074.00","2,988.00","3,041.85","3,041.85","19,167,679"
"Aug 28, 2024","3,010.00","3,014.95","2,986.00","2,996.60","2,996.60","4,805,143"
"Aug 27, 2024","3,021.00","3,026.95","2,998.90","3,000.90","3,000.90","3,125,578"
"Aug 26, 2024","3,013.95","3,046.00","3,006.00","3,025.20","3,025.20","4,408,057"
"Aug 23, 2024","3,007.50","3,022.65","2,996.85","2,999.95","2,999.95","4,624,827"
"Aug 22, 2024","3,006.00","3,013.00","2,981.30","2,996.25","2,996.25","5,222,891"
"Aug 21, 2024","2,986.50","3,015.75","2,980.00","2,997.35","2,997.35","3,884,998"
"Aug 20, 2024","2,994.45","3,007.85","2,980.05","2,991.90","2,991.90","4,205,904"
"Aug 19, 2024",10.00 Dividend,,,,,
"Aug 19, 2024","2,965.00","2,996.60","2,961.00","2,976.80","2,976.80","6,898,871"
"Aug 16, 2024","2,937.30","2,960.80","2,916.10","2,956.40","2,946.40","4,708,451"
"Aug 14, 2024","2,927.10","2,944.00","2,907.40","2,923.70","2,913.81","3,133,733"
"Aug 13, 2024","2,921.50","2,940.15","2,916.00","2,927.25","2,917.35","3,132,532"
"Aug 12, 2024","2,940.00","2,946.00","2,915.50","2,921.25","2,911.37","4,092,292"
"Aug 9, 2024","2,920.00","2,953.00","2,912.00","2,948.60","2,938.63","3,124,888"
"Aug 8, 2024","2,915.05","2,930.00","2,891.85","2,898.25","2,888.45","6,193,596"
"Aug 7, 2024","2,938.00","2,945.00","2,923.00","2,929.65","2,919.74","4,087,284"
"Aug 6, 2024","2,910.30","2,955.00","2,902.65","2,912.10","2,902.25","5,118,093"
"Aug 5, 2024","2,960.00","2,967.80","2,866.50","2,894.65","2,884.86","8,523,352"
"Aug 2, 2024","3,010.00","3,018.65","2,986.55","2,998.65","2,988.51","5,134,124"
"Aug 1, 2024","3,024.00","3,036.00","3,008.60","3,030.60","3,020.35","5,382,111"
